lineType,nomDia,dt_mg,dt_corr,massDensity,subWeight,volEqDia,mbl,EA,transDrag_eqDia,longDrag_eqDia,transAddedMass_eqDia,longAddedMass_eqDia
polyester,0.21,0.1,0.0,158.98481824620077,363.0086331750774,0.38925930945836096,13582799.999999998,"[190159199.99999997, (11.615, 0.396)]",1.6852519234871948,0.0,1.2203443164761791,0.16641058861038804
polyester,0.21,0.2,0.0,371.277941812531,834.5396993303301,0.5962573353846474,13582799.999999998,"[190159199.99999997, (11.615, 0.396)]",1.636877136899925,0.0,1.151290405248541,0.15699414617025562
sl_chain,0.121,0.0,0.0,292.82,2497.937691278725,0.2177999999999999,13836001.640999999,1253199977.6527,1.333333333333334,0.6388888888888892,1.0000000000000009,0.5000000000000004
sl_chain,0.121,0.0,0.005,292.82,2497.937691278725,0.2177999999999999,12716155.869223138,1253199977.6527,1.333333333333334,0.6388888888888892,1.0000000000000009,0.5000000000000004
sl_chain,0.121,0.0,0.01,292.82,2497.937691278725,0.2177999999999999,11643560.973892562,1253199977.6527,1.333333333333334,0.6388888888888892,1.0000000000000009,0.5000000000000004
sl_chain,0.121,0.05,0.0,364.00063554871076,2656.0392840484274,0.3403481159048776,13836001.640999999,1253199977.6527,1.5584043960103457,0.7467354397549574,1.3661011470962086,0.6830505735481043
sl_chain,0.121,0.05,0.005,364.00063554871076,2656.0392840484274,0.3403481159048776,12716155.869223138,1253199977.6527,1.5584043960103457,0.7467354397549574,1.3661011470962086,0.6830505735481043
sl_chain,0.121,0.05,0.01,364.00063554871076,2656.0392840484274,0.3403481159048776,11643560.973892562,1253199977.6527,1.5584043960103457,0.7467354397549574,1.3661011470962086,0.6830505735481043
sl_chain,0.121,0.1,0.0,476.80737375748623,2906.5979486132774,0.47353652446247485,13836001.640999999,1253199977.6527,1.6269072398892641,0.7795597191136058,1.4888402815523085,0.7444201407761543
sl_chain,0.121,0.1,0.005,476.80737375748623,2906.5979486132774,0.47353652446247485,12716155.869223138,1253199977.6527,1.6269072398892641,0.7795597191136058,1.4888402815523085,0.7444201407761543
sl_chain,0.121,0.1,0.01,476.80737375748623,2906.5979486132774,0.47353652446247485,11643560.973892562,1253199977.6527,1.6269072398892641,0.7795597191136058,1.4888402815523085,0.7444201407761543
sl_chain,0.121,0.2,0.0,827.2991581552315,3685.0864931284204,0.7490239248515362,13836001.640999999,1253199977.6527,1.669372577448499,0.7999076933607391,1.5675777013145884,0.7837888506572942
sl_chain,0.121,0.2,0.005,827.2991581552315,3685.0864931284204,0.7490239248515362,12716155.869223138,1253199977.6527,1.669372577448499,0.7999076933607391,1.5675777013145884,0.7837888506572942
sl_chain,0.121,0.2,0.01,827.2991581552315,3685.0864931284204,0.7490239248515362,11643560.973892562,1253199977.6527,1.669372577448499,0.7999076933607391,1.5675777013145884,0.7837888506572942
sl_chain,0.125,0.0,0.0,312.5,2665.8203965733264,0.225,14629020.125,1337423242.1875,1.3333333333333333,0.6388888888888888,1.0000000000000002,0.5000000000000001
sl_chain,0.125,0.0,0.005,312.5,2665.8203965733264,0.225,13482104.9472,1337423242.1875,1.3333333333333333,0.6388888888888888,1.0000000000000002,0.5000000000000001
sl_chain,0.125,0.0,0.01,312.5,2665.8203965733264,0.225,12382002.6338,1337423242.1875,1.3333333333333333,0.6388888888888888,1.0000000000000002,0.5000000000000001
sl_chain,0.125,0.05,0.0,385.3456796551134,2827.6202722148346,0.34731109973624524,14629020.125,1337423242.1875,1.5548020216171798,0.7450093020248986,1.359792746113989,0.6798963730569945
sl_chain,0.125,0.05,0.005,385.3456796551134,2827.6202722148346,0.34731109973624524,13482104.9472,1337423242.1875,1.5548020216171798,0.7450093020248986,1.359792746113989,0.6798963730569945
sl_chain,0.125,0.05,0.01,385.3456796551134,2827.6202722148346,0.34731109973624524,12382002.6338,1337423242.1875,1.5548020216171798,0.7450093020248986,1.359792746113989,0.6798963730569945
sl_chain,0.125,0.1,0.0,499.81746197029145,3081.8772196514906,0.48023431780746373,14629020.125,1337423242.1875,1.624207123641503,0.7782659134115534,1.48390243902439,0.741951219512195
sl_chain,0.125,0.1,0.005,499.81746197029145,3081.8772196514906,0.48023431780746373,13482104.9472,1337423242.1875,1.624207123641503,0.7782659134115534,1.48390243902439,0.741951219512195
sl_chain,0.125,0.1,0.01,499.81746197029145,3081.8772196514906,0.48023431780746373,12382002.6338,1337423242.1875,1.624207123641503,0.7782659134115534,1.48390243902439,0.741951219512195
sl_chain,0.125,0.2,0.0,853.6393345808419,3867.762329910245,0.7553972464869065,14629020.125,1337423242.1875,1.6679965486501676,0.7992483462282053,1.5649945235487401,0.7824972617743701
sl_chain,0.125,0.2,0.005,853.6393345808419,3867.762329910245,0.7553972464869065,13482104.9472,1337423242.1875,1.6679965486501676,0.7992483462282053,1.5649945235487401,0.7824972617743701
sl_chain,0.125,0.2,0.01,853.6393345808419,3867.762329910245,0.7553972464869065,12382002.6338,1337423242.1875,1.6679965486501676,0.7992483462282053,1.5649945235487401,0.7824972617743701
sl_chain,0.13,0.0,0.0,338.00000000000006,2883.3513409337106,0.23399999999999999,15637688.430000003,1446553657.9000003,1.3333333333333333,0.6388888888888888,1.0000000000000002,0.5000000000000001
sl_chain,0.13,0.0,0.005,338.00000000000006,2883.3513409337106,0.23399999999999999,14457921.995192308,1446553657.9000003,1.3333333333333333,0.6388888888888888,1.0000000000000002,0.5000000000000001
sl_chain,0.13,0.0,0.01,338.00000000000006,2883.3513409337106,0.23399999999999999,13324420.910769235,1446553657.9000003,1.3333333333333333,0.6388888888888888,1.0000000000000002,0.5000000000000001
sl_chain,0.13,0.05,0.0,412.9269847881166,3049.7740701649764,0.3560280887795231,15637688.430000003,1446553657.9000003,1.5504394664260217,0.742918910995802,1.3521726782164165,0.6760863391082083
sl_chain,0.13,0.05,0.005,412.9269847881166,3049.7740701649764,0.3560280887795231,14457921.995192308,1446553657.9000003,1.5504394664260217,0.742918910995802,1.3521726782164165,0.6760863391082083
sl_chain,0.13,0.05,0.01,412.9269847881166,3049.7740701649764,0.3560280887795231,13324420.910769235,1446553657.9000003,1.5504394664260217,0.742918910995802,1.3521726782164165,0.6760863391082083
sl_chain,0.13,0.1,0.0,529.4800722362979,3308.6538711913895,0.488626646837849,15637688.430000003,1446553657.9000003,1.6208694411682905,0.7766666072264724,1.4778099817386787,0.7389049908693394
sl_chain,0.13,0.1,0.005,529.4800722362979,3308.6538711913895,0.488626646837849,14457921.995192308,1446553657.9000003,1.6208694411682905,0.7766666072264724,1.4778099817386787,0.7389049908693394
sl_chain,0.13,0.1,0.01,529.4800722362979,3308.6538711913895,0.488626646837849,13324420.910769235,1446553657.9000003,1.6208694411682905,0.7766666072264724,1.4778099817386787,0.7389049908693394
sl_chain,0.13,0.2,0.0,887.4645551128549,4103.784688629659,0.7633845688773123,15637688.430000003,1446553657.9000003,1.6662637048986904,0.7984180252639558,1.5617445380227744,0.7808722690113872
sl_chain,0.13,0.2,0.005,887.4645551128549,4103.784688629659,0.7633845688773123,14457921.995192308,1446553657.9000003,1.6662637048986904,0.7984180252639558,1.5617445380227744,0.7808722690113872
sl_chain,0.13,0.2,0.01,887.4645551128549,4103.784688629659,0.7633845688773123,13324420.910769235,1446553657.9000003,1.6662637048986904,0.7984180252639558,1.5617445380227744,0.7808722690113872
sl_chain,0.135,0.0,0.0,364.50000000000006,3109.4129105631287,0.24300000000000005,16664151.735000003,1559963307.2625003,1.333333333333333,0.6388888888888887,0.9999999999999998,0.4999999999999999
sl_chain,0.135,0.0,0.005,364.50000000000006,3109.4129105631287,0.24300000000000005,15452629.043703703,1559963307.2625003,1.333333333333333,0.6388888888888887,0.9999999999999998,0.4999999999999999
sl_chain,0.135,0.0,0.01,364.50000000000006,3109.4129105631287,0.24300000000000005,14286824.189814815,1559963307.2625003,1.333333333333333,0.6388888888888887,0.9999999999999998,0.4999999999999999
sl_chain,0.135,0.05,0.0,441.50828992111985,3280.4584933841516,0.3647588244306092,16664151.735000003,1559963307.2625003,1.5462271567532533,0.7409005126109339,1.3448353614082036,0.6724176807041018
