,condName,__name__,MooringFile,SeaStFile|WaveHs,SeaStFile|WaveTp,SeaStFile|WaveDir,SeaStFile|WaveSeed(1),InflowFile|PropagationDir,InflowFile|FileName_BTS,InflowFile|RotorApexOffsetPos,EDFile|NacYaw,EDFile|RotSpeed,EDFile|PtfmSurge,EDFile|BlPitch(1),EDFile|BlPitch(2),EDFile|BlPitch(3),ServoFile|PCMode,HydroFile|DiffQTF,windSpeed,windShear
49,50,Run_P200_C142_L1430_clump40_50_S1,"""Moordyn_P200_C142_L1430_clump40_50.dat""",2.15534,14.0654,28.87,-1078919584,119.0781,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_50_seed1.bts""",0 0 0,-119.0781,0.0,0.0,90.0,90.0,90.0,0.0,0.0,2.43245,0.14
50,51,Run_P200_C142_L1430_clump40_51_S1,"""Moordyn_P200_C142_L1430_clump40_51.dat""",3.75676,12.294,33.818,-1742297084,-95.15,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_51_seed1.bts""",0 0 0,95.15,,,,,,,0.0,12.6663,0.14
51,52,Run_P200_C142_L1430_clump40_52_S1,"""Moordyn_P200_C142_L1430_clump40_52.dat""",3.18089,14.6024,26.223,-1546277434,-49.047,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_52_seed1.bts""",0 0 0,49.047,,,,,,,0.0,4.23818,0.14
52,53,Run_P200_C142_L1430_clump40_53_S1,"""Moordyn_P200_C142_L1430_clump40_53.dat""",2.26617,6.99504,119.252,607458169,-152.898,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_53_seed1.bts""",0 0 0,152.898,,,,,,,0.0,16.5086,0.14
53,54,Run_P200_C142_L1430_clump40_54_S1,"""Moordyn_P200_C142_L1430_clump40_54.dat""",4.38979,14.2698,44.94,-1619159953,-147.896,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_54_seed1.bts""",0 0 0,147.896,,,,,,,0.0,23.36,0.14
54,55,Run_P200_C142_L1430_clump40_55_S1,"""Moordyn_P200_C142_L1430_clump40_55.dat""",2.17819,18.4055,28.314,-420813863,-136.614,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_55_seed1.bts""",0 0 0,136.614,,,,,,,0.0,8.09722,0.14
55,56,Run_P200_C142_L1430_clump40_56_S1,"""Moordyn_P200_C142_L1430_clump40_56.dat""",3.27644,13.1497,22.95,174070209,152.388,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_56_seed1.bts""",0 0 0,-152.388,0.0,0.0,90.0,90.0,90.0,0.0,0.0,2.99329,0.14
56,57,Run_P200_C142_L1430_clump40_57_S1,"""Moordyn_P200_C142_L1430_clump40_57.dat""",2.47863,9.64081,69.942,-111130099,-107.962,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_57_seed1.bts""",0 0 0,107.962,,,,,,,0.0,9.82505,0.14
57,58,Run_P200_C142_L1430_clump40_58_S1,"""Moordyn_P200_C142_L1430_clump40_58.dat""",2.97673,10.1327,49.06,-1068508947,-149.528,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_58_seed1.bts""",0 0 0,149.528,,,,,,,0.0,21.1007,0.14
58,59,Run_P200_C142_L1430_clump40_59_S1,"""Moordyn_P200_C142_L1430_clump40_59.dat""",3.97707,12.3119,40.74,-374861513,-47.138,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_59_seed1.bts""",0 0 0,47.138,,,,,,,0.0,8.74366,0.14
59,60,Run_P200_C142_L1430_clump40_60_S1,"""Moordyn_P200_C142_L1430_clump40_60.dat""",2.32169,13.4428,0.206,420378090,-118.374,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_60_seed1.bts""",0 0 0,118.374,,,,,,,0.0,5.88183,0.14
60,61,Run_P200_C142_L1430_clump40_61_S1,"""Moordyn_P200_C142_L1430_clump40_61.dat""",1.48825,10.6678,50.062,904833261,102.0211,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_61_seed1.bts""",0 0 0,-102.0211,0.0,0.0,90.0,90.0,90.0,0.0,0.0,2.39015,0.14
61,62,Run_P200_C142_L1430_clump40_62_S1,"""Moordyn_P200_C142_L1430_clump40_62.dat""",2.9925,7.7719,116.448,-1329381993,-151.02,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_62_seed1.bts""",0 0 0,151.02,,,,,,,0.0,21.7939,0.14
62,63,Run_P200_C142_L1430_clump40_63_S1,"""Moordyn_P200_C142_L1430_clump40_63.dat""",4.10894,14.1241,54.218,2139167939,-157.921,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_63_seed1.bts""",0 0 0,157.921,,,,,,,0.0,9.8442,0.14
63,64,Run_P200_C142_L1430_clump40_64_S1,"""Moordyn_P200_C142_L1430_clump40_64.dat""",2.89172,9.95734,-7.742,-981798902,-139.955,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_64_seed1.bts""",0 0 0,139.955,,,,,,,0.0,15.4109,0.14
64,65,Run_P200_C142_L1430_clump40_65_S1,"""Moordyn_P200_C142_L1430_clump40_65.dat""",2.13067,10.2799,81.018,-839810864,-153.185,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_65_seed1.bts""",0 0 0,153.185,,,,,,,0.0,11.8027,0.14
65,66,Run_P200_C142_L1430_clump40_66_S1,"""Moordyn_P200_C142_L1430_clump40_66.dat""",4.49732,15.4178,33.833,1875650230,-100.538,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_66_seed1.bts""",0 0 0,100.538,,,,,,,0.0,5.53951,0.14
66,67,Run_P200_C142_L1430_clump40_67_S1,"""Moordyn_P200_C142_L1430_clump40_67.dat""",1.3583,14.9776,76.841,250897617,-133.869,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_67_seed1.bts""",0 0 0,133.869,,,,,,,0.0,7.82133,0.14
67,68,Run_P200_C142_L1430_clump40_68_S1,"""Moordyn_P200_C142_L1430_clump40_68.dat""",2.45931,15.9149,31.895,-1151146677,175.015,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_68_seed1.bts""",0 0 0,-175.015,,,,,,,0.0,9.96353,0.14
68,69,Run_P200_C142_L1430_clump40_69_S1,"""Moordyn_P200_C142_L1430_clump40_69.dat""",5.50115,14.0924,4.395,-1803897502,-13.538,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_69_seed1.bts""",0 0 0,13.538,,,,,,,0.0,11.3858,0.14
